event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
UKR194960,"22 November 2024",2024,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Russia (2000-) Air Force",,8,"Military Forces of Ukraine (2019-)",,1,18,,804,Europe,Ukraine,Kherson,Kakhovskyi,Novokakhovska,Kozatske,46.7845,33.3377,2,"Ministry of Defence of Russia; Ministry of Defence of Ukraine",Other-National,"On 22 November 2024, Russian air forces struck multiple Ukrainian units, including territorial defence (coded to Novopavlivka) and national guard (coded to Mala Tokmachka), across multiple locations, some near Kozatske, Kherson. According to Russian sources, the Ukrainian military lost up to 40 soldiers, 4 cars and 2 EW systems near Novopavlivka, Mala Tokmachka, Kozatske [Russian MoD reported 40 fatalities. Coded as 10 fatalities across 3 events. 3 fatalities coded to this event].",3,,1732655057
UKR194971,"22 November 2024",2024,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Russia (2000-) Air Force",,8,"Military Forces of Ukraine (2019-)",,1,18,,804,Europe,Ukraine,Kharkiv,Kharkivskyi,Lypetska,Lyptsi,50.2037,36.4077,2,"Ministry of Defence of Russia; Ministry of Defence of Ukraine",Other-National,"On 22 November 2024, Russian air forces struck the Ukrainian military near Lyptsi, Kharkiv. According to Russian sources, the Ukrainian military lost up to 40 soldiers, an APC, 2 cars and 2 artillery systems near Vovchansk, Lyptsi and Kharkiv [Russian MoD reported 40 fatalities. Coded as 10 fatalities across 3 events. 3 fatalities coded to this event].",3,,1732655057
UKR194974,"22 November 2024",2024,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Russia (2000-) Air Force","Military Forces of Russia (2000-)",8,"Military Forces of Ukraine (2019-)","Military Forces of Ukraine (2019-) National Guard",1,18,,804,Europe,Ukraine,Zaporizhia,Polohivskyi,Malotokmachanska,"Mala Tokmachka",47.5325,35.8978,2,"Ministry of Defence of Russia; Ministry of Defence of Ukraine; Suspilne Media",Other-National,"On 22 November 2024, Russian air forces, drones and artillery struck multiple Ukrainian units, including territorial defence (coded to Novopavlivka) and national guard (coded here), across multiple locations, some near Mala Tokmachka, Zaporizhia. According to Russian sources, the Ukrainian military lost up to 40 soldiers, 4 cars and 2 EW systems near Novopavlivka, Mala Tokmachka, Kozatske [Russian MoD reported 40 fatalities. Coded as 10 fatalities across 3 events. 3 fatalities coded to this event].",3,,1732655057
UKR194994,"22 November 2024",2024,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Russia (2000-) Air Force",,8,"Military Forces of Ukraine (2019-)",,1,18,,804,Europe,Ukraine,Donetsk,Volnovaskyi,Velykonovosilkivska,"Novyi Komar",47.8835,36.838,2,"Ministry of Defence of Russia; Ministry of Defence of Ukraine",Other-National,"On 22 November 2024, Russian air forces struck multiple Ukrainian units, including territorial defence (coded to Rozlyv), across multiple locations, some near Novyi Komar, Donetsk. According to Russian sources, the Ukrainian military lost up to 155 soldiers, 3 tanks, 6 cars, 2 artillery systems and an EW system near Vilne Pole, Rozlyv, Blahodatne, Novyi Komar [Russian MoD reported 155 fatalities. Coded as 10 fatalities across 4 events. 2 fatalities coded to this event].",2,,1732655058
UKR195024,"22 November 2024",2024,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Russia (2000-) Air Force",,8,"Military Forces of Ukraine (2019-)",,1,18,,804,Europe,Ukraine,Donetsk,Bakhmutskyi,Siverska,Siversk,48.8726,38.096,2,"Ministry of Defence of Russia; Ministry of Defence of Ukraine",Other-National,"On 22 November 2024, Russian air forces struck the Ukrainian military near Siversk, Donetsk. According to Russian sources, the Ukrainian military lost up to 490 soldiers, an APC, 5 cars, 5 artillery systems and a military depot near Chasiv Yar, Orikhovo-Vasylivka, Siversk, Kramatorsk and Hryhorivka [Russian MoD reported 490 fatalities. Coded as 10 fatalities across 5 events. 2 fatalities coded to this event].",2,,1732655058
UKR195031,"22 November 2024",2024,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Russia (2000-) Air Force",,8,"Military Forces of Ukraine (2019-)","Military Forces of Ukraine (2019-) Territorial Defense Forces",1,18,,804,Europe,Ukraine,Donetsk,Bakhmutskyi,Toretska,"Sukha Balka",48.3225,37.7604,2,"Ministry of Defence of Russia",National,"On 22 November 2024, Russian air forces struck multiple Ukrainian units, including territorial defence (coded here), across multiple locations, some near Sukha Balka, Donetsk. According to Russian sources, the Ukrainian military lost up to 400 soldiers, 3 IFVs, 2 cars, 4 artillery systems and a counter-battery system near Shcherbynivka, Toretsk, Shevchenko, Druzhba, Yablunivka, Sukha Balka [Russian MoD reported 400 fatalities. Coded as 10 fatalities across 6 events. 1 fatality coded to this event].",1,,1732655058
UKR194721,"20 November 2024",2024,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Russia (2000-) Air Force",,8,"Military Forces of Ukraine (2019-)",,1,18,,804,Europe,Ukraine,Donetsk,Kramatorskyi,Kostiantynivska,Chervone,48.5632,37.7854,2,"Ministry of Defence of Russia; Ministry of Defence of Ukraine",Other-National,"On 20 November 2024, Russian air forces carried out airstrikes near Chervone, Donetsk. According to Russian sources, more than 380 Ukrainian soldiers were killed near Chervone, Siversk, Viroliubivka, Dachne and Kurakhove [Russian MoD reported 380 fatalities. Coded as 10 fatalities split across 5 events. 2 fatalities coded to this event].",2,,1732655055
UKR194746,"20 November 2024",2024,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Russia (2000-) Air Force",,8,"Military Forces of Ukraine (2019-)",,1,18,,804,Europe,Ukraine,Kharkiv,Kharkivskyi,Derhachivska,"Kozacha Lopan",50.3319,36.1936,2,"Ministry of Defence of Russia; Ministry of Defence of Ukraine",Other-National,"On 20 November 2024, Russian air forces carried out airstrikes near Kozacha Lopan, Kharkiv. According to Russian sources, more than 145 Ukrainian soldiers were killed near Lebedivka and Kozacha Lopan [Russian MoD reported 145 fatalities. Coded as 10 fatalities split across 2 events. 5 fatalities coded to this event].",5,,1732655056
UKR194811,"20 November 2024",2024,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Russia (2000-) Air Force",,8,"Military Forces of Ukraine (2019-)",,1,18,,804,Europe,Ukraine,Donetsk,Volnovaskyi,Velykonovosilkivska,Ulakly,47.9974,37.0851,2,"Ministry of Defence of Russia; Ministry of Defence of Ukraine",Other-National,"On 20 November 2024, Russian air forces carried out airstrikes near Ulakly, Donetsk. According to Russian sources, more than 145 Ukrainian soldiers were killed near Zelene Pole, Ulakly and Novosilka [Russian MoD reported 145 fatalities. Coded as 10 fatalities split across 3 events. 4 fatalities coded to this event].",4,,1732655056
UKR194535,"19 November 2024",2024,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Russia (2000-) Air Force","Military Forces of Russia (2000-)",8,"Military Forces of Ukraine (2019-)",,1,18,,804,Europe,Ukraine,Sumy,Sumskyi,Yunakivska,Basivka,51.1856,35.0877,2,"Ministry of Defence of Russia; Ministry of Defence of Ukraine",Other-National,"On 19 November 2024, Russian Forces launched suspected drone strikes and shelled near Basivka, Sumy, with suspected 152mm and 122mm artillery. According to Russian sources, 400 Ukrainian soldiers were killed in the area of Zhuravka, Basivka, Yunakivka, Bilovody, Myropillia, Pavlivka, Agronom, Aleksandriya, Guevo, Zazulevka, Zelenyi Shlyakh, Kazach'ya-Loknya, Kolmakov, Lebedevka, Leonidovo, Makhnovka, Melovoy, Nizhnii Klin, Novoivanovka, Nikolskiy, and Sudzha. [Russian MoD reported 400 fatalities. Coded as 10 fatalities split across 21 events. 1 fatality coded to this event].",1,,1732655054
